X,Erf
-8.698,-1.0
-8.696,-1.0
-8.693999999999999,-1.0
-8.692,-1.0
-8.69,-1.0
-8.688,-1.0
-8.686,-1.0
-8.684,-1.0
-8.682,-1.0
-8.68,-1.0
-8.678,-1.0
-8.676,-1.0
-8.674,-1.0
-8.672,-1.0
-8.67,-1.0
-8.668,-1.0
-8.666,-1.0
-8.664,-1.0
-8.661999999999999,-1.0
-8.66,-1.0
-8.658,-1.0
-8.656,-1.0
-8.654,-1.0
-8.652,-1.0
-8.65,-1.0
-8.648,-1.0
-8.646,-1.0
-8.644,-1.0
-8.642,-1.0
-8.64,-1.0
-8.638,-1.0
-8.636,-1.0
-8.634,-1.0
-8.632,-1.0
-8.629999999999999,-1.0
-8.628,-1.0
-8.626,-1.0
-8.624,-1.0
-8.622,-1.0
-8.62,-1.0
-8.618,-1.0
-8.616,-1.0
-8.614,-1.0
-8.612,-1.0
-8.61,-1.0
-8.608,-1.0
-8.606,-1.0
-8.604,-1.0
-8.602,-1.0
-8.6,-1.0
-8.597999999999999,-1.0
-8.596,-1.0
-8.594,-1.0
-8.592,-1.0
-8.59,-1.0
-8.588000000000001,-1.0
-8.586,-1.0
-8.584,-1.0
-8.582,-1.0
-8.58,-1.0
-8.578,-1.0
-8.576,-1.0
-8.574,-1.0
-8.572,-1.0
-8.57,-1.0
-8.568,-1.0
-8.566,-1.0
-8.564,-1.0
-8.562,-1.0
-8.56,-1.0
-8.558,-1.0
-8.556000000000001,-1.0
-8.554,-1.0
-8.552,-1.0
-8.55,-1.0
-8.548,-1.0
-8.546,-1.0
-8.544,-1.0
-8.542,-1.0
-8.54,-1.0
-8.538,-1.0
-8.536,-1.0
-8.534,-1.0
-8.532,-1.0
-8.53,-1.0
-8.528,-1.0
-8.526,-1.0
-8.524000000000001,-1.0
-8.522,-1.0
-8.52,-1.0
-8.518,-1.0
-8.516,-1.0
-8.514,-1.0
-8.512,-1.0
-8.51,-1.0
-8.508,-1.0
-8.506,-1.0
-8.504,-1.0
-8.502,-1.0
-8.5,-1.0
-8.498,-1.0
-8.496,-1.0
-8.494,-1.0
-8.492,-1.0
-8.49,-1.0
-8.488,-1.0
-8.486,-1.0
-8.484,-1.0
-8.482,-1.0
-8.48,-1.0
-8.478,-1.0
-8.475999999999999,-1.0
-8.474,-1.0
-8.472,-1.0
-8.47,-1.0
-8.468,-1.0
-8.466,-1.0
-8.464,-1.0
-8.462,-1.0
-8.46,-1.0
-8.458,-1.0
-8.456,-1.0
-8.454,-1.0
-8.452,-1.0
-8.45,-1.0
-8.448,-1.0
-8.446,-1.0
-8.443999999999999,-1.0
-8.442,-1.0
-8.44,-1.0
-8.438,-1.0
-8.436,-1.0
-8.434,-1.0
-8.432,-1.0
-8.43,-1.0
-8.428,-1.0
-8.426,-1.0
-8.424,-1.0
-8.422,-1.0
-8.42,-1.0
-8.418,-1.0
-8.416,-1.0
-8.414,-1.0
-8.411999999999999,-1.0
-8.41,-1.0
-8.408,-1.0
-8.406,-1.0
-8.404,-1.0
-8.402,-1.0
-8.4,-1.0
-8.398,-1.0
-8.396,-1.0
-8.394,-1.0
-8.392,-1.0
-8.39,-1.0
-8.388,-1.0
-8.386,-1.0
-8.384,-1.0
-8.382,-1.0
-8.379999999999999,-1.0
-8.378,-1.0
-8.376,-1.0
-8.374,-1.0
-8.372,-1.0
-8.37,-1.0
-8.368,-1.0
-8.366,-1.0
-8.364,-1.0
-8.362,-1.0
-8.36,-1.0
-8.358,-1.0
-8.356,-1.0
-8.354,-1.0
-8.352,-1.0
-8.35,-1.0
-8.347999999999999,-1.0
-8.346,-1.0
-8.344,-1.0
-8.342,-1.0
-8.34,-1.0
-8.338,-1.0
-8.336,-1.0
-8.334,-1.0
-8.332,-1.0
-8.33,-1.0
-8.328,-1.0
-8.326,-1.0
-8.324,-1.0
-8.322,-1.0
-8.32,-1.0
-8.318,-1.0
-8.316,-1.0
-8.314,-1.0
-8.312,-1.0
-8.31,-1.0
-8.308,-1.0
-8.306000000000001,-1.0
-8.304,-1.0
-8.302,-1.0
-8.3,-1.0
-8.298,-1.0
-8.296,-1.0
-8.294,-1.0
-8.292,-1.0
-8.29,-1.0
-8.288,-1.0
-8.286,-1.0
-8.284,-1.0
-8.282,-1.0
-8.28,-1.0
-8.278,-1.0
-8.276,-1.0
-8.274000000000001,-1.0
-8.272,-1.0
-8.27,-1.0
-8.268,-1.0
-8.266,-1.0
-8.264,-1.0
-8.262,-1.0
-8.26,-1.0
-8.258,-1.0
-8.256,-1.0
-8.254,-1.0
-8.252,-1.0
-8.25,-1.0
-8.248,-1.0
-8.246,-1.0
-8.244,-1.0
-8.242,-1.0
-8.24,-1.0
-8.238,-1.0
-8.236,-1.0
-8.234,-1.0
-8.232,-1.0
-8.23,-1.0
-8.228,-1.0
-8.225999999999999,-1.0
-8.224,-1.0
-8.222,-1.0
-8.22,-1.0
-8.218,-1.0
-8.216,-1.0
-8.214,-1.0
-8.212,-1.0
-8.21,-1.0
-8.208,-1.0
-8.206,-1.0
-8.204,-1.0
-8.202,-1.0
-8.2,-1.0
-8.198,-1.0
-8.196,-1.0
-8.193999999999999,-1.0
-8.192,-1.0
-8.19,-1.0
-8.188,-1.0
-8.186,-1.0
-8.184,-1.0
-8.182,-1.0
-8.18,-1.0
-8.178,-1.0
-8.176,-1.0
-8.174,-1.0
-8.172,-1.0
-8.17,-1.0
-8.168,-1.0
-8.166,-1.0
-8.164,-1.0
-8.161999999999999,-1.0
-8.16,-1.0
-8.158,-1.0
-8.156,-1.0
-8.154,-1.0
-8.152,-1.0
-8.15,-1.0
-8.148,-1.0
-8.146,-1.0
-8.144,-1.0
-8.142,-1.0
-8.14,-1.0
-8.138,-1.0
-8.136,-1.0
-8.134,-1.0
-8.132,-1.0
-8.129999999999999,-1.0
-8.128,-1.0
-8.126,-1.0
-8.124,-1.0
-8.122,-1.0
-8.12,-1.0
-8.118,-1.0
-8.116,-1.0
-8.114,-1.0
-8.112,-1.0
-8.11,-1.0
-8.108,-1.0
-8.106,-1.0
-8.104,-1.0
-8.102,-1.0
-8.1,-1.0
-8.097999999999999,-1.0
-8.096,-1.0
-8.094,-1.0
-8.092,-1.0
-8.09,-1.0
-8.088,-1.0
-8.086,-1.0
-8.084,-1.0
-8.082,-1.0
-8.08,-1.0
-8.078,-1.0
-8.076,-1.0
-8.074,-1.0
-8.072,-1.0
-8.07,-1.0
-8.068,-1.0
-8.066,-1.0
-8.064,-1.0
-8.062,-1.0
-8.06,-1.0
-8.058,-1.0
-8.056000000000001,-1.0
-8.054,-1.0
-8.052,-1.0
-8.05,-1.0
-8.048,-1.0
-8.046,-1.0
-8.044,-1.0
-8.042,-1.0
-8.04,-1.0
-8.038,-1.0
-8.036,-1.0
-8.034,-1.0
-8.032,-1.0
-8.03,-1.0
-8.028,-1.0
-8.026,-1.0
-8.024000000000001,-1.0
-8.022,-1.0
-8.02,-1.0
-8.018,-1.0
-8.016,-1.0
-8.014,-1.0
-8.012,-1.0
-8.01,-1.0
-8.008,-1.0
-8.006,-1.0
-8.004,-1.0
-8.002,-1.0
-8.0,-1.0
-7.997999999999999,-1.0
-7.996,-1.0
-7.994,-1.0
-7.992,-1.0
-7.99,-1.0
-7.9879999999999995,-1.0
-7.986,-1.0
-7.984,-1.0
-7.981999999999999,-1.0
-7.98,-1.0
-7.978,-1.0
-7.976,-1.0
-7.974,-1.0
-7.9719999999999995,-1.0
-7.97,-1.0
-7.968,-1.0
-7.965999999999999,-1.0
-7.964,-1.0
-7.962,-1.0
-7.96,-1.0
-7.958,-1.0
-7.9559999999999995,-1.0
-7.954,-1.0
-7.952,-1.0
-7.95,-1.0
-7.948,-1.0
-7.946,-1.0
-7.944,-1.0
-7.942,-1.0
-7.9399999999999995,-1.0
